ROWID,Calendar Day,Type of power generation,Monitored capacity,Capacity under long outage,New capacity under stabilization or completion of balance works,Capacity of power generation from prime movers (pm),Capacity of power generation from fuel oil (fo),Capacity of power generation from other sources,Total capacity of power generation from all sources,Capacity outage as percent of monitered,Operational capacity of power generation,Gross sum of maximum power generated,Net sum of maximum power generated,Maximum power output as percentage of capacity on line,Percentage of monitered maximum power output
9007,2017-09-09,Thermal_Coal Lignite,193276.5,5814.0,12540.0,9509.0,53740.5,0.0,63249.5,32.72,130027.0,143942.73,130987.88,100.74,67.77
1975,2017-09-09,Thermal_Diesel,837.63,,,0.0,0.0,0.0,0.0,0.0,837.63,46.05,45.13,5.39,5.39
2624,2017-09-09,Nuclear,6780.0,540.0,,1140.0,1640.0,0.0,2780.0,41.0,4000.0,4242.0,3754.17,93.85,55.37
1976,2017-09-10,Thermal_Diesel,837.63,,,0.0,0.0,0.0,0.0,0.0,837.63,46.05,45.13,5.39,5.39
2625,2017-09-10,Nuclear,6780.0,540.0,,1140.0,1640.0,0.0,2780.0,41.0,4000.0,4240.81,3753.12,93.83,55.36
6679,2017-09-10,Thermal_Gas Liquid,25130.88,3472.3,,0.0,80.0,9120.36,9200.36,36.61,15930.52,10282.73,10077.08,63.26,40.1
8695,2017-09-10,Hydro,44753.42,1142.9,,721.15,1359.6,1210.5,3291.25,7.35,41462.17,32130.69,31809.38,76.72,71.08
9241,2017-09-10,Thermal_Coal Lignite,193276.5,5814.0,12540.0,9719.0,49345.5,0.0,59064.5,30.56,134212.0,141185.96,128479.22,95.73,66.47
2626,2017-09-11,Nuclear,6780.0,540.0,,1140.0,1640.0,0.0,2780.0,41.0,4000.0,4238.2,3750.81,93.77,55.32
8654,2017-09-11,Hydro,44753.42,1142.9,,851.15,1549.6,1336.5,3737.25,8.35,41016.17,34492.57,34147.64,83.25,76.3
6684,2017-09-11,Thermal_Gas Liquid,25130.88,3472.3,,0.0,80.0,9100.36,9180.36,36.53,15950.52,11194.34,10970.45,68.78,43.65
1977,2017-09-11,Thermal_Diesel,837.63,,,0.0,0.0,0.0,0.0,0.0,837.63,46.05,45.13,5.39,5.39
9212,2017-09-11,Thermal_Coal Lignite,193276.5,5814.0,12540.0,10509.0,48953.0,0.0,59462.0,30.77,133814.5,142433.35,129614.35,96.86,67.06
