ROWID,Calendar Day,Type of power generation,Monitored capacity,Capacity under long outage,New capacity under stabilization or completion of balance works,Capacity of power generation from prime movers (pm),Capacity of power generation from fuel oil (fo),Capacity of power generation from other sources,Total capacity of power generation from all sources,Capacity outage as percent of monitered,Operational capacity of power generation,Gross sum of maximum power generated,Net sum of maximum power generated,Maximum power output as percentage of capacity on line,Percentage of monitered maximum power output
6549,2018-01-11,Thermal_Gas Liquid,25095.88,4564.3,,0.0,80.0,9482.46,9562.46,38.1,15533.42,6569.91,6438.51,41.45,25.66
9520,2018-01-11,Thermal_Coal Lignite,192971.5,5144.0,10210.0,5714.0,48803.0,0.0,54517.0,28.25,138454.5,139674.74,127104.01,91.8,65.87
6629,2018-01-12,Thermal_Gas Liquid,25095.88,4564.3,,0.0,80.0,9310.46,9390.46,37.42,15705.42,6868.13,6730.77,42.86,26.82
8005,2018-01-12,Hydro,44963.42,768.0,,2879.82,1285.2,1889.15,6054.17,13.46,38909.25,24738.87,24491.48,62.95,54.47
2072,2018-01-12,Thermal_Diesel,837.63,,,0.0,0.0,0.0,0.0,0.0,837.63,46.05,45.13,5.39,5.39
9406,2018-01-12,Thermal_Coal Lignite,192971.5,5144.0,10210.0,5714.0,50268.0,0.0,55982.0,29.01,136989.5,139188.0,126661.08,92.46,65.64
4020,2018-01-12,Nuclear,6780.0,540.0,,980.0,540.0,0.0,1520.0,22.42,5260.0,5263.6,4658.29,88.56,68.71
9424,2018-01-13,Thermal_Coal Lignite,192971.5,5144.0,10210.0,5664.0,50113.0,0.0,55777.0,28.9,137194.5,138324.51,125875.3,91.75,65.23
6703,2018-01-13,Thermal_Gas Liquid,25095.88,4564.3,,0.0,80.0,8962.46,9042.46,36.03,16053.42,7043.79,6902.91,43.0,27.51
7859,2018-01-13,Hydro,44963.42,768.0,,2989.82,1515.2,1932.15,6437.17,14.32,38526.25,23881.45,23642.64,61.37,52.58
2073,2018-01-13,Thermal_Diesel,837.63,,,0.0,0.0,0.0,0.0,0.0,837.63,46.05,45.13,5.39,5.39
4301,2018-01-13,Nuclear,6780.0,540.0,,980.0,320.0,0.0,1300.0,19.17,5480.0,5437.45,4812.14,87.81,70.98
4302,2018-01-14,Nuclear,6780.0,540.0,,980.0,320.0,0.0,1300.0,19.17,5480.0,5412.05,4789.66,87.4,70.64
2074,2018-01-14,Thermal_Diesel,837.63,,,0.0,0.0,0.0,0.0,0.0,837.63,46.05,45.13,5.39,5.39
6704,2018-01-14,Thermal_Gas Liquid,25095.88,4564.3,,0.0,80.0,8962.46,9042.46,36.03,16053.42,6365.22,6237.92,38.86,24.86
9380,2018-01-14,Thermal_Coal Lignite,192971.5,5144.0,10210.0,5604.0,50684.0,0.0,56288.0,29.17,136683.5,134593.94,122480.49,89.61,63.47
7972,2018-01-14,Hydro,44963.42,768.0,,2948.15,1561.7,1628.15,6138.0,13.65,38825.42,25573.41,25317.68,65.21,56.31
4303,2018-01-15,Nuclear,6780.0,540.0,,980.0,320.0,0.0,1300.0,19.17,5480.0,5414.45,4791.79,87.44,70.68
2075,2018-01-15,Thermal_Diesel,837.63,,,0.0,0.0,0.0,0.0,0.0,837.63,46.05,45.13,5.39,5.39
6685,2018-01-15,Thermal_Gas Liquid,25095.88,4564.3,,0.0,80.0,9063.46,9143.46,36.43,15952.42,6551.86,6420.82,40.25,25.59
8019,2018-01-15,Hydro,44963.42,728.0,,3013.15,1343.2,1666.15,6022.5,13.39,38940.92,25786.1,25528.24,65.56,56.78
9401,2018-01-15,Thermal_Coal Lignite,192971.5,5144.0,10210.0,6299.0,49733.0,0.0,56032.0,29.04,136939.5,134965.99,122819.05,89.69,63.65
9407,2018-01-16,Thermal_Coal Lignite,192971.5,5144.0,10210.0,6089.0,49860.5,0.0,55949.5,28.99,137022.0,134470.84,122368.46,89.31,63.41
8120,2018-01-16,Hydro,44963.42,728.0,,2898.82,1274.2,1572.15,5745.17,12.78,39218.25,27562.18,27286.56,69.58,60.69
4304,2018-01-16,Nuclear,6780.0,540.0,,980.0,320.0,0.0,1300.0,19.17,5480.0,5014.5,4437.83,80.98,65.45
6680,2018-01-16,Thermal_Gas Liquid,25095.88,4564.3,,0.0,80.0,9083.46,9163.46,36.51,15932.42,6695.94,6562.02,41.19,26.15
2076,2018-01-16,Thermal_Diesel,837.63,,,0.0,0.0,0.0,0.0,0.0,837.63,46.05,45.13,5.39,5.39
9425,2018-01-17,Thermal_Coal Lignite,192971.5,5144.0,10210.0,6089.0,49663.0,0.0,55752.0,28.89,137219.5,138391.42,125936.19,91.78,65.26
7890,2018-01-17,Hydro,44963.42,728.0,,3033.82,1319.2,1994.15,6347.17,14.12,38616.25,27473.5,27198.76,70.43,60.49
6590,2018-01-17,Thermal_Gas Liquid,25095.88,4564.3,,0.0,80.0,9390.46,9470.46,37.74,15625.42,7421.92,7273.48,46.55,28.98
4305,2018-01-17,Nuclear,6780.0,540.0,,980.0,320.0,0.0,1300.0,19.17,5480.0,5024.01,4446.25,81.14,65.58
2077,2018-01-17,Thermal_Diesel,837.63,,,0.0,0.0,0.0,0.0,0.0,837.63,46.05,45.13,5.39,5.39
8221,2018-01-18,Hydro,44963.42,728.0,,2462.82,1334.2,1687.15,5484.17,12.2,39479.25,27429.04,27154.75,68.78,60.39
9497,2018-01-18,Thermal_Coal Lignite,192971.5,5144.0,10210.0,5589.0,49200.5,0.0,54789.5,28.39,138182.0,137320.79,124961.92,90.43,64.76
6548,2018-01-18,Thermal_Gas Liquid,25095.88,4564.3,,0.0,80.0,9483.06,9563.06,38.11,15532.82,7255.63,7110.52,45.78,28.33
2078,2018-01-18,Thermal_Diesel,837.63,,,0.0,0.0,0.0,0.0,0.0,837.63,46.05,45.13,5.39,5.39
4306,2018-01-18,Nuclear,6780.0,540.0,,980.0,320.0,0.0,1300.0,19.17,5480.0,5024.5,4446.68,81.14,65.59
2079,2018-01-19,Thermal_Diesel,837.63,,,0.0,0.0,0.0,0.0,0.0,837.63,46.05,45.13,5.39,5.39
8169,2018-01-19,Hydro,44963.42,708.0,,2576.82,1483.2,1540.9,5600.92,12.46,39362.5,23804.21,23566.17,59.87,52.41
4307,2018-01-19,Nuclear,6780.0,540.0,,980.0,320.0,0.0,1300.0,19.17,5480.0,5025.67,4447.72,81.16,65.6
6707,2018-01-19,Thermal_Gas Liquid,25095.88,4564.3,,0.0,80.0,8947.46,9027.46,35.97,16068.42,6616.26,6483.93,40.35,25.84
9574,2018-01-19,Thermal_Coal Lignite,193571.5,5144.0,10810.0,5789.0,48745.5,0.0,54534.5,28.17,139037.0,139758.39,127180.13,91.47,65.7
2080,2018-01-20,Thermal_Diesel,837.63,,,0.0,0.0,0.0,0.0,0.0,837.63,46.05,45.13,5.39,5.39
8229,2018-01-20,Hydro,44963.42,708.0,,2251.57,1529.7,1686.0,5467.27,12.16,39496.15,24905.3,24656.25,62.43,54.84
4308,2018-01-20,Nuclear,6780.0,540.0,,980.0,320.0,0.0,1300.0,19.17,5480.0,5020.25,4442.92,81.08,65.53
6701,2018-01-20,Thermal_Gas Liquid,25095.88,4564.3,,0.0,80.0,8980.96,9060.96,36.11,16034.92,6569.12,6437.74,40.15,25.65
9682,2018-01-20,Thermal_Coal Lignite,193571.5,5144.0,10810.0,5789.0,46983.0,0.0,52772.0,27.26,140799.5,138124.7,125693.48,89.27,64.93
2081,2018-01-21,Thermal_Diesel,837.63,,,0.0,0.0,0.0,0.0,0.0,837.63,46.05,45.13,5.39,5.39
9554,2018-01-21,Thermal_Coal Lignite,193821.5,5144.0,11060.0,5789.0,49268.0,0.0,55057.0,28.41,138764.5,135200.65,123032.59,88.66,63.48
4309,2018-01-21,Nuclear,6780.0,540.0,,980.0,320.0,0.0,1300.0,19.17,5480.0,5024.71,4446.87,81.15,65.59
8103,2018-01-21,Hydro,44963.42,708.0,,2484.57,1517.7,1773.9,5776.17,12.85,39187.25,25751.37,25493.86,65.06,56.7
6717,2018-01-21,Thermal_Gas Liquid,25095.88,4564.3,,0.0,80.0,8801.96,8881.96,35.39,16213.92,6364.66,6237.37,38.47,24.85
9559,2018-01-22,Thermal_Coal Lignite,193821.5,5144.0,11060.0,5589.0,49408.0,0.0,54997.0,28.38,138824.5,139315.44,126777.05,91.32,65.41
2082,2018-01-22,Thermal_Diesel,837.63,,,0.0,0.0,0.0,0.0,0.0,837.63,46.05,45.13,5.39,5.39
8159,2018-01-22,Hydro,44963.42,708.0,,2303.57,1700.35,1631.5,5635.42,12.53,39328.0,26713.45,26446.32,67.25,58.82
6718,2018-01-22,Thermal_Gas Liquid,25095.88,4564.3,,0.0,80.0,8801.96,8881.96,35.39,16213.92,9278.93,9093.35,56.08,36.23
4310,2018-01-22,Nuclear,6780.0,540.0,,980.0,320.0,0.0,1300.0,19.17,5480.0,5243.96,4640.9,84.69,68.45
9450,2018-01-23,Thermal_Coal Lignite,193821.5,5144.0,11060.0,5589.0,50648.0,0.0,56237.0,29.01,137584.5,137313.31,124955.11,90.82,64.47
2083,2018-01-23,Thermal_Diesel,837.63,,,0.0,0.0,0.0,0.0,0.0,837.63,46.05,45.13,5.39,5.39
6719,2018-01-23,Thermal_Gas Liquid,25095.88,4564.3,,0.0,80.0,8801.96,8881.96,35.39,16213.92,6279.52,6153.93,37.95,24.52
4520,2018-01-23,Nuclear,6780.0,540.0,,980.0,100.0,0.0,1080.0,15.93,5700.0,5154.67,4561.88,80.03,67.28
8162,2018-01-23,Hydro,44963.42,708.0,,2429.1,1531.35,1658.25,5618.7,12.5,39344.72,25267.68,25015.0,63.58,55.63
2084,2018-01-24,Thermal_Diesel,837.63,,,0.0,0.0,0.0,0.0,0.0,837.63,46.05,45.13,5.39,5.39
6711,2018-01-24,Thermal_Gas Liquid,25095.88,4564.3,,0.0,80.0,8847.46,8927.46,35.57,16168.42,9103.61,8921.54,55.18,35.55
8188,2018-01-24,Hydro,44963.42,708.0,,2499.1,1480.1,1573.75,5552.95,12.35,39410.47,26727.96,26460.68,67.14,58.85
4521,2018-01-24,Nuclear,6780.0,540.0,,980.0,100.0,0.0,1080.0,15.93,5700.0,5174.2,4579.17,80.34,67.54
9466,2018-01-24,Thermal_Coal Lignite,193821.5,5144.0,11060.0,5589.0,50393.0,0.0,55982.0,28.88,137839.5,137764.98,125366.13,90.95,64.68
9453,2018-01-25,Thermal_Coal Lignite,193821.5,5144.0,11060.0,6089.0,50128.0,0.0,56217.0,29.0,137604.5,138370.19,125916.87,91.51,64.97
4522,2018-01-25,Nuclear,6780.0,540.0,,980.0,100.0,0.0,1080.0,15.93,5700.0,5470.4,4841.3,84.94,71.41
2085,2018-01-25,Thermal_Diesel,837.63,,,0.0,0.0,0.0,0.0,0.0,837.63,46.05,45.13,5.39,5.39
8041,2018-01-25,Hydro,44963.42,708.0,,2277.1,1455.1,2216.75,5948.95,13.23,39014.47,23536.83,23301.46,59.73,51.82
6678,2018-01-25,Thermal_Gas Liquid,25095.88,4564.3,,0.0,80.0,9108.96,9188.96,36.62,15906.92,9747.56,9552.61,60.05,38.06
8323,2018-01-26,Hydro,44963.42,708.0,,2242.9,1590.1,1353.75,5186.75,11.54,39776.67,23165.81,22934.15,57.66,51.01
6681,2018-01-26,Thermal_Gas Liquid,25095.88,4564.3,,0.0,80.0,9083.46,9163.46,36.51,15932.42,8915.15,8736.85,54.84,34.81
2086,2018-01-26,Thermal_Diesel,837.63,,,0.0,0.0,0.0,0.0,0.0,837.63,46.05,45.13,5.39,5.39
9477,2018-01-26,Thermal_Coal Lignite,193821.5,5144.0,11060.0,5969.0,49883.0,0.0,55852.0,28.82,137969.5,136246.06,123983.91,89.86,63.97
4523,2018-01-26,Nuclear,6780.0,540.0,,980.0,100.0,0.0,1080.0,15.93,5700.0,5360.8,4744.31,83.23,69.98
4524,2018-01-27,Nuclear,6780.0,540.0,,980.0,100.0,0.0,1080.0,15.93,5700.0,5289.8,4681.47,82.13,69.05
6682,2018-01-27,Thermal_Gas Liquid,25095.88,4564.3,,0.0,80.0,9083.46,9163.46,36.51,15932.42,6228.34,6103.77,38.31,24.32
2087,2018-01-27,Thermal_Diesel,837.63,,,0.0,0.0,0.0,0.0,0.0,837.63,46.05,45.13,5.39,5.39
9436,2018-01-27,Thermal_Coal Lignite,193821.5,5144.0,10810.0,5669.0,50758.0,0.0,56427.0,29.11,137394.5,134999.73,122849.75,89.41,63.38
8225,2018-01-27,Hydro,44963.42,708.0,,2269.9,1515.1,1691.75,5476.75,12.18,39486.67,22900.96,22671.95,57.42,50.42
2088,2018-01-28,Thermal_Diesel,837.63,,,0.0,0.0,0.0,0.0,0.0,837.63,46.05,45.13,5.39,5.39
8197,2018-01-28,Hydro,44963.42,708.0,,2196.9,1459.1,1886.75,5542.75,12.33,39420.67,24803.27,24555.24,62.29,54.61
6689,2018-01-28,Thermal_Gas Liquid,25095.88,4564.3,,0.0,80.0,9049.96,9129.96,36.38,15965.92,8831.84,8655.2,54.21,34.49
4525,2018-01-28,Nuclear,6780.0,540.0,,980.0,100.0,0.0,1080.0,15.93,5700.0,5432.8,4808.03,84.35,70.91
9385,2018-01-28,Thermal_Coal Lignite,193821.5,5144.0,10810.0,5929.0,51178.0,0.0,57107.0,29.46,136714.5,136173.08,123917.5,90.64,63.93
2089,2018-01-29,Thermal_Diesel,837.63,,,0.0,0.0,0.0,0.0,0.0,837.63,46.05,45.13,5.39,5.39
8119,2018-01-29,Hydro,44963.42,708.0,,2515.57,1474.1,1755.75,5745.42,12.78,39218.0,26439.31,26174.92,66.74,58.21
6677,2018-01-29,Thermal_Gas Liquid,25095.88,4564.3,,0.0,80.0,9113.46,9193.46,36.63,15902.42,8986.28,8806.55,55.38,35.09
4526,2018-01-29,Nuclear,6780.0,540.0,,980.0,100.0,0.0,1080.0,15.93,5700.0,5569.96,4929.41,86.48,72.71
9459,2018-01-29,Thermal_Coal Lignite,193821.5,5144.0,10810.0,6229.0,49918.0,0.0,56147.0,28.97,137674.5,139085.97,126568.23,91.93,65.3
2090,2018-01-30,Thermal_Diesel,837.63,,,0.0,0.0,0.0,0.0,0.0,837.63,46.05,45.13,5.39,5.39
4311,2018-01-30,Nuclear,6780.0,540.0,,980.0,320.0,0.0,1300.0,19.17,5480.0,5536.96,4900.21,89.42,72.27
8186,2018-01-30,Hydro,44963.42,708.0,,2698.57,1369.1,1489.75,5557.42,12.36,39406.0,24570.86,24325.15,61.73,54.1
9302,2018-01-30,Thermal_Coal Lignite,193821.5,5144.0,10810.0,6229.0,52130.5,0.0,58359.5,30.11,135462.0,136315.2,124046.83,91.57,64.0
6712,2018-01-30,Thermal_Gas Liquid,25095.88,4564.3,,0.0,80.0,8821.96,8901.96,35.47,16193.92,6459.76,6330.56,39.09,25.23
7963,2018-01-31,Hydro,44963.42,708.0,,2836.57,1570.1,1756.75,6163.42,13.71,38800.0,25644.22,25387.78,65.43,56.46
6713,2018-01-31,Thermal_Gas Liquid,25095.88,4564.3,,0.0,80.0,8821.96,8901.96,35.47,16193.92,6580.92,6449.3,39.83,25.7
9452,2018-01-31,Thermal_Coal Lignite,193821.5,5144.0,10810.0,6229.0,49988.0,0.0,56217.0,29.0,137604.5,138477.51,126014.53,91.58,65.02
2091,2018-01-31,Thermal_Diesel,837.63,,,0.0,0.0,0.0,0.0,0.0,837.63,46.05,45.13,5.39,5.39
4312,2018-01-31,Nuclear,6780.0,540.0,,980.0,320.0,0.0,1300.0,19.17,5480.0,5426.08,4802.08,87.63,70.83
7955,2018-02-01,Hydro,44963.42,708.0,,2687.57,2107.1,1395.75,6190.42,13.77,38773.0,24016.79,23776.62,61.32,52.88
2092,2018-02-01,Thermal_Diesel,837.63,,,0.0,0.0,0.0,0.0,0.0,837.63,46.05,45.13,5.39,5.39
6714,2018-02-01,Thermal_Gas Liquid,25095.88,4564.3,,0.0,80.0,8821.96,8901.96,35.47,16193.92,7318.09,7171.73,44.29,28.58
4313,2018-02-01,Nuclear,6780.0,540.0,,980.0,320.0,0.0,1300.0,19.17,5480.0,5419.88,4796.59,87.53,70.75
9539,2018-02-01,Thermal_Coal Lignite,193821.5,5144.0,10810.0,6739.0,48458.0,0.0,55197.0,28.48,138624.5,136616.37,124320.9,89.68,64.14
7993,2018-02-02,Hydro,44963.42,708.0,,2467.57,2095.6,1518.75,6081.92,13.53,38881.5,22719.91,22492.71,57.85,50.02
2093,2018-02-02,Thermal_Diesel,837.63,,,0.0,0.0,0.0,0.0,0.0,837.63,46.05,45.13,5.39,5.39
4314,2018-02-02,Nuclear,6780.0,540.0,,980.0,320.0,0.0,1300.0,19.17,5480.0,5422.86,4799.23,87.58,70.79
9547,2018-02-02,Thermal_Coal Lignite,193821.5,5144.0,10810.0,6449.0,48693.0,0.0,55142.0,28.45,138679.5,138459.18,125997.85,90.86,65.01
6715,2018-02-02,Thermal_Gas Liquid,25095.88,4564.3,,0.0,80.0,8821.96,8901.96,35.47,16193.92,7309.1,7162.92,44.23,28.54
2094,2018-02-03,Thermal_Diesel,837.63,,,0.0,0.0,0.0,0.0,0.0,837.63,46.05,45.13,5.39,5.39
4315,2018-02-03,Nuclear,6780.0,540.0,,980.0,320.0,0.0,1300.0,19.17,5480.0,5424.15,4800.37,87.6,70.8
7201,2018-02-03,Hydro,44963.42,708.0,,2744.07,2222.1,3080.0,8046.17,17.89,36917.25,22426.97,22202.7,60.14,49.38
6700,2018-02-03,Thermal_Gas Liquid,25095.88,4564.3,,0.0,80.0,9029.96,9109.96,36.3,15985.92,9324.07,9137.59,57.16,36.41
9577,2018-02-03,Thermal_Coal Lignite,193821.5,5144.0,10810.0,6239.0,48403.0,0.0,54642.0,28.19,139179.5,138432.89,125973.93,90.51,64.99
2095,2018-02-04,Thermal_Diesel,837.63,,,0.0,0.0,0.0,0.0,0.0,837.63,46.05,45.13,5.39,5.39
9556,2018-02-04,Thermal_Coal Lignite,193821.5,5144.0,10810.0,5849.0,49158.0,0.0,55007.0,28.38,138814.5,135993.58,123754.16,89.15,63.85
7253,2018-02-04,Hydro,44963.42,708.0,,2673.9,2133.6,3095.0,7902.5,17.58,37060.92,23543.27,23307.84,62.89,51.84
6687,2018-02-04,Thermal_Gas Liquid,25095.88,4564.3,,0.0,80.0,9050.96,9130.96,36.38,15964.92,8819.62,8643.23,54.14,34.44
4316,2018-02-04,Nuclear,6780.0,540.0,,980.0,320.0,0.0,1300.0,19.17,5480.0,5426.86,4802.77,87.64,70.84
9637,2018-02-05,Thermal_Coal Lignite,193821.5,5144.0,10810.0,6099.0,47668.0,0.0,53767.0,27.74,140054.5,136918.26,124595.62,88.96,64.28
2096,2018-02-05,Thermal_Diesel,837.63,,,0.0,0.0,0.0,0.0,0.0,837.63,46.05,45.13,5.39,5.39
7259,2018-02-05,Hydro,44963.42,708.0,,2718.9,2036.1,3136.0,7891.0,17.55,37072.42,26353.63,26090.09,70.38,58.03
6688,2018-02-05,Thermal_Gas Liquid,25095.88,4564.3,,0.0,80.0,9050.96,9130.96,36.38,15964.92,6651.44,6518.41,40.83,25.97
4317,2018-02-05,Nuclear,6780.0,540.0,,980.0,320.0,0.0,1300.0,19.17,5480.0,5427.1,4802.98,87.65,70.84
7424,2018-02-06,Hydro,44963.42,708.0,,2758.9,1931.1,2841.0,7531.0,16.75,37432.42,25032.38,24782.06,66.2,55.12
4021,2018-02-06,Nuclear,6780.0,540.0,,980.0,540.0,0.0,1520.0,22.42,5260.0,5193.57,4596.31,87.38,67.79
9667,2018-02-06,Thermal_Coal Lignite,193821.5,5144.0,10810.0,5439.0,47783.0,0.0,53222.0,27.46,140599.5,139314.96,126776.61,90.17,65.41
2097,2018-02-06,Thermal_Diesel,837.63,,,0.0,0.0,0.0,0.0,0.0,837.63,46.05,45.13,5.39,5.39
6695,2018-02-06,Thermal_Gas Liquid,25095.88,4564.3,,0.0,80.0,9037.66,9117.66,36.33,15978.22,9320.6,9134.19,57.17,36.4
4022,2018-02-07,Nuclear,6780.0,540.0,,980.0,540.0,0.0,1520.0,22.42,5260.0,5195.85,4598.33,87.42,67.82
9546,2018-02-07,Thermal_Coal Lignite,193821.5,5144.0,10810.0,5649.0,49498.0,0.0,55147.0,28.45,138674.5,138903.87,126402.52,91.15,65.22
7280,2018-02-07,Hydro,44963.42,708.0,,2756.57,2055.6,3036.0,7848.17,17.45,37115.25,26066.6,25805.93,69.53,57.39
2098,2018-02-07,Thermal_Diesel,837.63,,,0.0,0.0,0.0,0.0,0.0,837.63,46.05,45.13,5.39,5.39
6709,2018-02-07,Thermal_Gas Liquid,25095.88,4564.3,,0.0,80.0,8931.96,9011.96,35.91,16083.92,6958.04,6818.88,42.4,27.17
9602,2018-02-08,Thermal_Coal Lignite,193821.5,5144.0,10810.0,5539.0,48688.0,0.0,54227.0,27.98,139594.5,137525.38,125148.1,89.65,64.57
7518,2018-02-08,Hydro,44963.42,708.0,,2566.57,1840.1,2914.75,7321.42,16.28,37642.0,27688.43,27411.55,72.82,60.96
4023,2018-02-08,Nuclear,6780.0,540.0,,980.0,540.0,0.0,1520.0,22.42,5260.0,5368.89,4751.47,90.33,70.08
6668,2018-02-08,Thermal_Gas Liquid,25095.88,4952.3,,0.0,80.0,9157.56,9237.56,36.81,15858.32,6445.84,6316.92,39.83,25.17
2099,2018-02-08,Thermal_Diesel,837.63,,,0.0,0.0,0.0,0.0,0.0,837.63,46.05,45.13,5.39,5.39
9521,2018-02-09,Thermal_Coal Lignite,193821.5,5144.0,10810.0,5479.0,49888.0,0.0,55367.0,28.57,138454.5,139671.88,127101.41,91.8,65.58
2100,2018-02-09,Thermal_Diesel,837.63,,,0.0,0.0,0.0,0.0,0.0,837.63,46.05,45.13,5.39,5.39
6690,2018-02-09,Thermal_Gas Liquid,25095.88,4952.3,,0.0,80.0,9046.96,9126.96,36.37,15968.92,9161.83,8978.59,56.23,35.78
7927,2018-02-09,Hydro,44963.42,708.0,,2439.57,2015.1,1802.0,6256.67,13.92,38706.75,22991.37,22761.46,58.8,50.62
4318,2018-02-09,Nuclear,6780.0,540.0,,760.0,540.0,0.0,1300.0,19.17,5480.0,5444.89,4818.73,87.93,71.07
7862,2018-02-10,Hydro,44963.42,708.0,,2439.57,2020.1,1971.0,6430.67,14.3,38532.75,22879.28,22650.49,58.78,50.38
6691,2018-02-10,Thermal_Gas Liquid,25095.88,4952.3,,0.0,80.0,9046.96,9126.96,36.37,15968.92,9066.97,8885.63,55.64,35.41
4319,2018-02-10,Nuclear,6780.0,540.0,,760.0,540.0,0.0,1300.0,19.17,5480.0,5424.4,4800.59,87.6,70.81
9448,2018-02-10,Thermal_Coal Lignite,193821.5,5144.0,10810.0,5479.0,50768.0,0.0,56247.0,29.02,137574.5,139975.78,127377.96,92.59,65.72
2101,2018-02-10,Thermal_Diesel,837.63,,,0.0,0.0,0.0,0.0,0.0,837.63,46.05,45.13,5.39,5.39
4320,2018-02-11,Nuclear,6780.0,540.0,,760.0,540.0,0.0,1300.0,19.17,5480.0,5424.4,4800.59,87.6,70.81
7977,2018-02-11,Hydro,44963.42,708.0,,2355.9,2005.1,1773.0,6134.0,13.64,38829.42,23879.19,23640.4,60.88,52.58
2102,2018-02-11,Thermal_Diesel,837.63,,,0.0,0.0,0.0,0.0,0.0,837.63,46.05,45.13,5.39,5.39
6716,2018-02-11,Thermal_Gas Liquid,25095.88,4952.3,,0.0,80.0,8803.96,8883.96,35.4,16211.92,9159.55,8976.36,55.37,35.77
9674,2018-02-11,Thermal_Coal Lignite,193821.5,5144.0,10810.0,5104.0,48058.0,0.0,53162.0,27.43,140659.5,139152.3,126628.59,90.02,65.33
9529,2018-02-12,Thermal_Coal Lignite,193821.5,5144.0,10810.0,5149.0,50135.5,0.0,55284.5,28.52,138537.0,137302.3,124945.09,90.19,64.46
7949,2018-02-12,Hydro,44963.42,708.0,,2355.9,1945.1,1913.0,6214.0,13.82,38749.42,22600.47,22374.47,57.74,49.76
4321,2018-02-12,Nuclear,6780.0,540.0,,760.0,540.0,0.0,1300.0,19.17,5480.0,5424.4,4800.59,87.6,70.81
2103,2018-02-12,Thermal_Diesel,837.63,,,0.0,0.0,0.0,0.0,0.0,837.63,46.05,45.13,5.39,5.39
6708,2018-02-12,Thermal_Gas Liquid,25095.88,4952.3,,0.0,80.0,8945.46,9025.46,35.96,16070.42,6558.41,6427.24,39.99,25.61
2104,2018-02-13,Thermal_Diesel,837.63,,,0.0,0.0,0.0,0.0,0.0,837.63,46.05,45.13,5.39,5.39
6623,2018-02-13,Thermal_Gas Liquid,25095.88,4952.3,,0.0,80.0,9319.46,9399.46,37.45,15696.42,6176.9,6053.36,38.57,24.12
9506,2018-02-13,Thermal_Coal Lignite,193821.5,5144.0,10810.0,5269.0,50275.5,0.0,55544.5,28.66,138277.0,138404.06,125947.69,91.08,64.98
4322,2018-02-13,Nuclear,6780.0,540.0,,760.0,540.0,0.0,1300.0,19.17,5480.0,5448.68,4822.08,87.99,71.12
7877,2018-02-13,Hydro,44963.42,708.0,,2697.2,2001.7,1691.0,6389.9,14.21,38573.52,22500.16,22275.16,57.75,49.54
7703,2018-02-14,Hydro,44963.42,708.0,,2638.2,2113.2,2097.0,6848.4,15.23,38115.02,22627.3,22401.03,58.77,49.82
4323,2018-02-14,Nuclear,6780.0,540.0,,760.0,540.0,0.0,1300.0,19.17,5480.0,5448.68,4822.08,87.99,71.12
6630,2018-02-14,Thermal_Gas Liquid,25095.88,4952.3,,0.0,80.0,9304.46,9384.46,37.39,15711.42,6186.88,6063.14,38.59,24.16
9540,2018-02-14,Thermal_Coal Lignite,193821.5,5144.0,10810.0,5269.0,49915.5,0.0,55184.5,28.47,138637.0,139118.45,126597.79,91.32,65.32
2105,2018-02-14,Thermal_Diesel,837.63,,,0.0,0.0,0.0,0.0,0.0,837.63,46.05,45.13,5.39,5.39
2106,2018-02-15,Thermal_Diesel,837.63,,,0.0,0.0,0.0,0.0,0.0,837.63,46.05,45.13,5.39,5.39
4324,2018-02-15,Nuclear,6780.0,540.0,,760.0,540.0,0.0,1300.0,19.17,5480.0,5448.68,4822.08,87.99,71.12
7813,2018-02-15,Hydro,44963.42,708.0,,2877.2,2113.2,1603.0,6593.4,14.66,38370.02,22573.86,22348.12,58.24,49.7
9400,2018-02-15,Thermal_Coal Lignite,193821.5,5144.0,10810.0,5269.0,51618.0,0.0,56887.0,29.35,136934.5,136632.54,124335.61,90.8,64.15
6631,2018-02-15,Thermal_Gas Liquid,25095.88,4952.3,,0.0,80.0,9304.46,9384.46,37.39,15711.42,6816.45,6680.12,42.52,26.62
4325,2018-02-16,Nuclear,6780.0,540.0,,760.0,540.0,0.0,1300.0,19.17,5480.0,5402.94,4781.6,87.26,70.53
6644,2018-02-16,Thermal_Gas Liquid,25095.88,4952.3,,0.0,80.0,9286.46,9366.46,37.32,15729.42,7591.37,7439.54,47.3,29.64
7774,2018-02-16,Hydro,44963.42,708.0,,3005.7,2186.7,1493.5,6685.9,14.87,38277.52,23003.02,22772.99,59.49,50.65
9517,2018-02-16,Thermal_Coal Lignite,193821.5,5144.0,10810.0,5814.0,49598.0,0.0,55412.0,28.59,138409.5,137232.23,124881.33,90.23,64.43
2107,2018-02-16,Thermal_Diesel,837.63,,,0.0,0.0,0.0,0.0,0.0,837.63,46.05,45.13,5.39,5.39
2108,2018-02-17,Thermal_Diesel,837.63,,,0.0,0.0,0.0,0.0,0.0,837.63,46.05,45.13,5.39,5.39
6658,2018-02-17,Thermal_Gas Liquid,25095.88,4952.3,,0.0,80.0,9196.46,9276.46,36.96,15819.42,6369.51,6242.12,39.46,24.87
9443,2018-02-17,Thermal_Coal Lignite,193821.5,5414.0,10810.0,5814.0,50498.0,0.0,56312.0,29.05,137509.5,136315.8,124047.38,90.21,64.0
