Country,srcYear,srcMonth,srcCalendarDay,Type of power generation,Monitored capacity,Capacity under long outage,New capacity under stabilization or completion of balance works,Capacity of power generation from Prime Movers (PM),Capacity of power generation from Fuel Oil (FO),Capacity of power generation from other sources,Total capacity of power generation from all sources,Capacity outage as percent of monitered,Operational capacity of power generation,Gross sum of maximum power generated,Net sum of maximum power generated,Maximum power output as percentage of capacity on line,Percentage of monitered maximum power output,YearCode,Year,MonthCode,Month,DayCode,CalendarDay
India,2019,Apr-2019,03-Apr-2019,Thermal_Coal Lignite,197912.5,8260,8310,3039,44708.5,1170,48917.5,24.72,148995,151497.19,137862.44,92.53,69.66,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190403,2019-04-03
India,2019,Apr-2019,04-Apr-2019,Thermal_Gas Liquid,24882.71,7618.28,,176.07,1894.18,13807.81,15878.06,63.81,9004.65,8327.66,8161.11,90.63,32.8,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190404,2019-04-04
India,2019,Apr-2019,04-Apr-2019,Hydro,45399.22,1269.3,,3160.8,1626.25,2967.17,7754.22,17.08,37645,25965.96,25706.3,68.29,56.62,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190404,2019-04-04
India,2019,Apr-2019,04-Apr-2019,Thermal_Diesel,637.63,,,0,0,0,0,0,637.63,125.05,122.55,19.22,19.22,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190404,2019-04-04
India,2019,Apr-2019,04-Apr-2019,Nuclear,6780,540,,1440,540,0,1980,29.2,4800,4814.78,4261.08,88.77,62.85,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190404,2019-04-04
India,2019,Apr-2019,04-Apr-2019,Thermal_Coal Lignite,197912.5,8260,8310,2979,44663.5,1420,49062.5,24.79,148850,151205.38,137596.89,92.44,69.52,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190404,2019-04-04
India,2019,Apr-2019,05-Apr-2019,Thermal_Diesel,637.63,,,0,0,0,0,0,637.63,111.05,108.83,17.07,17.07,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190405,2019-04-05
India,2019,Apr-2019,05-Apr-2019,Thermal_Gas Liquid,24882.71,7618.28,,176.07,1894.18,13807.81,15878.06,63.81,9004.65,7939.69,7780.9,86.41,31.27,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190405,2019-04-05
India,2019,Apr-2019,05-Apr-2019,Thermal_Coal Lignite,197912.5,8260,8310,2979,42576,1170,46725,23.61,151187.5,151478.19,137845.16,91.17,69.65,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190405,2019-04-05
India,2019,Apr-2019,05-Apr-2019,Hydro,45399.22,1269.3,,3171.8,2357.25,2546.66,8075.71,17.79,37323.51,25997.94,25737.96,68.96,56.69,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190405,2019-04-05
India,2019,Apr-2019,05-Apr-2019,Nuclear,6780,540,,1440,540,0,1980,29.2,4800,4796.45,4244.86,88.43,62.61,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190405,2019-04-05
India,2019,Apr-2019,06-Apr-2019,Thermal_Diesel,637.63,,,0,0,0,0,0,637.63,113.05,110.79,17.38,17.38,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190406,2019-04-06
India,2019,Apr-2019,06-Apr-2019,Nuclear,6780,540,,1440,540,0,1980,29.2,4800,4819.51,4265.27,88.86,62.91,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190406,2019-04-06
India,2019,Apr-2019,06-Apr-2019,Thermal_Gas Liquid,24882.71,7618.28,,284.07,1932.41,13548.31,15764.79,63.36,9117.92,6817.15,6680.81,73.27,26.85,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190406,2019-04-06
India,2019,Apr-2019,06-Apr-2019,Hydro,45399.22,1269.3,,3086.8,1951.25,2675.65,7713.7,16.99,37685.52,27140.86,26869.45,71.3,59.18,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190406,2019-04-06
India,2019,Apr-2019,06-Apr-2019,Thermal_Coal Lignite,197912.5,8260,8310,2989,44281,2180,49450,24.99,148462.5,151984.68,138306.06,93.16,69.88,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190406,2019-04-06
India,2019,Apr-2019,07-Apr-2019,Nuclear,6780,540,,1440,540,0,1980,29.2,4800,4806.6,4253.84,88.62,62.74,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190407,2019-04-07
India,2019,Apr-2019,07-Apr-2019,Thermal_Coal Lignite,197912.5,8260,8310,3669,45276,2600,51545,26.04,146367.5,148126.59,134795.2,92.09,68.11,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190407,2019-04-07
India,2019,Apr-2019,07-Apr-2019,Thermal_Gas Liquid,24882.71,7618.28,,156.07,1915.21,13548.31,15619.59,62.77,9263.12,6947.43,6808.48,73.5,27.36,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190407,2019-04-07
India,2019,Apr-2019,07-Apr-2019,Thermal_Diesel,637.63,,,0,0,0,0,0,637.63,46.05,45.13,7.08,7.08,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190407,2019-04-07
India,2019,Apr-2019,07-Apr-2019,Hydro,45399.22,1269.3,,3098.8,2107.25,2360.65,7566.7,16.67,37832.52,25429.38,25175.09,66.54,55.45,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190407,2019-04-07
India,2019,Apr-2019,08-Apr-2019,Nuclear,6780,540,,1440,540,0,1980,29.2,4800,4806.59,4253.83,88.62,62.74,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190408,2019-04-08
India,2019,Apr-2019,08-Apr-2019,Hydro,45399.22,1269.3,,2918.8,1852.25,2476.32,7247.37,15.96,38151.85,27450.79,27176.28,71.23,59.86,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190408,2019-04-08
India,2019,Apr-2019,08-Apr-2019,Thermal_Gas Liquid,24882.71,7618.28,,156.07,1551.91,13514.81,15222.79,61.18,9659.92,6861.94,6724.7,69.61,27.03,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190408,2019-04-08
India,2019,Apr-2019,08-Apr-2019,Thermal_Diesel,637.63,,,0,0,0,0,0,637.63,85.55,83.84,13.15,13.15,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190408,2019-04-08
India,2019,Apr-2019,09-Apr-2019,Thermal_Coal Lignite,197912.5,9060,8310,3969,43333.5,2210,49512.5,25.02,148400,149676.78,136205.87,91.78,68.82,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190409,2019-04-09
India,2019,Apr-2019,09-Apr-2019,Thermal_Diesel,637.63,,,0,0,0,0,0,637.63,46.05,45.13,7.08,7.08,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190409,2019-04-09
India,2019,Apr-2019,09-Apr-2019,Nuclear,6780,540,,1440,540,0,1980,29.2,4800,4808.57,4255.58,88.66,62.77,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190409,2019-04-09
India,2019,Apr-2019,09-Apr-2019,Hydro,45399.22,1269.3,,2746.8,1954.45,2687.65,7388.9,16.28,38010.32,26760.97,26493.36,69.7,58.36,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190409,2019-04-09
India,2019,Apr-2019,09-Apr-2019,Thermal_Gas Liquid,24882.71,7618.28,,156.07,1551.91,13514.81,15222.79,61.18,9659.92,8034.52,7873.83,81.51,31.64,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190409,2019-04-09
India,2019,Apr-2019,10-Apr-2019,Thermal_Coal Lignite,200692.5,9060,10430,4419,45483.5,2000,51902.5,25.86,148790,148253.05,134910.28,90.67,67.22,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190410,2019-04-10
India,2019,Apr-2019,10-Apr-2019,Thermal_Diesel,637.63,,,0,0,0,0,0,637.63,128.05,125.49,19.68,19.68,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190410,2019-04-10
India,2019,Apr-2019,10-Apr-2019,Thermal_Gas Liquid,24882.71,7618.28,,156.07,1551.91,13626.81,15334.79,61.63,9547.92,7968.79,7809.41,81.79,31.38,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190410,2019-04-10
India,2019,Apr-2019,10-Apr-2019,Hydro,45399.22,1269.3,,2766.8,2529.25,2760.05,8056.1,17.75,37343.12,27831.51,27553.19,73.78,60.69,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190410,2019-04-10
India,2019,Apr-2019,10-Apr-2019,Nuclear,6780,540,,1440,540,0,1980,29.2,4800,5005.11,4429.52,92.28,65.33,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190410,2019-04-10
India,2019,Apr-2019,11-Apr-2019,Hydro,45399.22,1269.3,,2814.8,2017.45,2725.05,7557.3,16.65,37841.92,28937.51,28648.13,75.7,63.1,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190411,2019-04-11
India,2019,Apr-2019,11-Apr-2019,Thermal_Coal Lignite,200692.5,9060,10430,4419,46226,1700,52345,26.08,148347.5,151031.73,137438.88,92.65,68.48,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190411,2019-04-11
India,2019,Apr-2019,11-Apr-2019,Thermal_Diesel,637.63,,,0,0,0,0,0,637.63,125.55,123.04,19.3,19.3,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190411,2019-04-11
India,2019,Apr-2019,11-Apr-2019,Nuclear,6780,540,,1220,540,0,1760,25.96,5020,5018.02,4440.95,88.47,65.5,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190411,2019-04-11
India,2019,Apr-2019,11-Apr-2019,Thermal_Gas Liquid,24882.71,7618.28,,156.07,1551.91,13626.81,15334.79,61.63,9547.92,8075.6,7914.09,82.89,31.81,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190411,2019-04-11
India,2019,Apr-2019,12-Apr-2019,Thermal_Coal Lignite,200692.5,9060,10430,4364,47711,990,53065,26.44,147627.5,150848.16,137271.82,92.99,68.4,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190412,2019-04-12
India,2019,Apr-2019,12-Apr-2019,Thermal_Diesel,637.63,,,0,0,0,0,0,637.63,126.55,124.02,19.45,19.45,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190412,2019-04-12
India,2019,Apr-2019,12-Apr-2019,Nuclear,6780,540,,1220,760,0,1980,29.2,4800,4726.22,4182.7,87.14,61.69,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190412,2019-04-12
India,2019,Apr-2019,12-Apr-2019,Hydro,45399.22,1200.3,,2976.8,1513.25,2715.05,7205.1,15.87,38194.12,28184.04,27902.2,73.05,61.46,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190412,2019-04-12
India,2019,Apr-2019,12-Apr-2019,Thermal_Gas Liquid,24882.71,7618.28,,156.07,1551.91,13652.81,15360.79,61.73,9521.92,8812.06,8635.82,90.69,34.71,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190412,2019-04-12
India,2019,Apr-2019,13-Apr-2019,Nuclear,6780,540,,1220,760,0,1980,29.2,4800,4765.9,4217.82,87.87,62.21,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190413,2019-04-13
India,2019,Apr-2019,13-Apr-2019,Thermal_Coal Lignite,200692.5,9060,10430,4364,46118.5,570,51052.5,25.44,149640,149825.27,136341,91.11,67.94,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190413,2019-04-13
India,2019,Apr-2019,13-Apr-2019,Thermal_Gas Liquid,24882.71,7618.28,,156.07,1513.68,13798.31,15468.06,62.16,9414.65,8830.08,8653.47,91.91,34.78,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190413,2019-04-13
India,2019,Apr-2019,13-Apr-2019,Hydro,45399.22,1200.3,,2911.8,2033.45,2550.05,7495.3,16.51,37903.92,28009.03,27728.94,73.16,61.08,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190413,2019-04-13
India,2019,Apr-2019,13-Apr-2019,Thermal_Diesel,637.63,,,0,0,0,0,0,637.63,126.55,124.02,19.45,19.45,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190413,2019-04-13
India,2019,Apr-2019,14-Apr-2019,Thermal_Gas Liquid,24882.71,7618.28,,156.07,1513.68,13636.78,15306.53,61.51,9576.19,8699.26,8525.27,89.03,34.26,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190414,2019-04-14
India,2019,Apr-2019,14-Apr-2019,Hydro,45399.22,1200.3,,2841.8,1744.25,2598.05,7184.1,15.82,38215.12,27887.94,27609.06,72.25,60.81,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190414,2019-04-14
India,2019,Apr-2019,14-Apr-2019,Thermal_Coal Lignite,200692.5,9060,10430,3914,45626,570,50110,24.97,150582.5,148508.74,135142.95,89.75,67.34,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190414,2019-04-14
India,2019,Apr-2019,14-Apr-2019,Thermal_Diesel,637.63,,,0,0,0,0,0,637.63,126.05,123.53,19.37,19.37,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190414,2019-04-14
India,2019,Apr-2019,14-Apr-2019,Nuclear,6780,540,,1220,540,0,1760,25.96,5020,4990.69,4416.76,87.98,65.14,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190414,2019-04-14
India,2019,Apr-2019,15-Apr-2019,Thermal_Coal Lignite,200692.5,9060,10430,3914,46626,570,51110,25.47,149582.5,151467.65,137835.57,92.15,68.68,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190415,2019-04-15
India,2019,Apr-2019,15-Apr-2019,Thermal_Gas Liquid,24882.71,7618.28,,156.07,1493.68,13836.28,15486.03,62.24,9396.69,9132.49,8949.84,95.24,35.97,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190415,2019-04-15
India,2019,Apr-2019,15-Apr-2019,Hydro,45399.22,1200.3,,2731.8,1768.25,2693.85,7193.9,15.85,38205.32,27775.64,27497.88,71.97,60.57,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190415,2019-04-15
India,2019,Apr-2019,15-Apr-2019,Nuclear,6780,540,,1220,320,0,1540,22.71,5240,5194.18,4596.85,87.73,67.8,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190415,2019-04-15
India,2019,Apr-2019,15-Apr-2019,Thermal_Diesel,637.63,,,0,0,0,0,0,637.63,126.05,123.53,19.37,19.37,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190415,2019-04-15
India,2019,Apr-2019,16-Apr-2019,Nuclear,6780,540,,1220,320,0,1540,22.71,5240,5231.99,4630.31,88.36,68.29,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190416,2019-04-16
India,2019,Apr-2019,16-Apr-2019,Thermal_Coal Lignite,200692.5,9060,10430,3414,50348.5,570,54332.5,27.07,146360,151386.01,137761.27,94.12,68.64,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190416,2019-04-16
India,2019,Apr-2019,16-Apr-2019,Thermal_Diesel,637.63,,,0,0,0,0,0,637.63,124.55,122.06,19.14,19.14,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190416,2019-04-16
India,2019,Apr-2019,16-Apr-2019,Hydro,45399.22,1200.3,,2773.8,1480.25,2389.1,6643.15,14.63,38756.07,28186.38,27904.52,72,61.46,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190416,2019-04-16
India,2019,Apr-2019,16-Apr-2019,Thermal_Gas Liquid,24882.71,7618.28,,156.07,1493.68,13582.24,15231.99,61.22,9650.73,8542.64,8371.79,86.75,33.64,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190416,2019-04-16
India,2019,Apr-2019,17-Apr-2019,Thermal_Gas Liquid,24882.71,7618.28,,156.07,1493.68,13649.24,15298.99,61.48,9583.73,7690.53,7536.72,78.64,30.29,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190417,2019-04-17
India,2019,Apr-2019,17-Apr-2019,Thermal_Diesel,637.63,,,0,0,0,0,0,637.63,46.05,45.13,7.08,7.08,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190417,2019-04-17
India,2019,Apr-2019,17-Apr-2019,Hydro,45399.22,1200.3,,2806.8,1135.25,2660.7,6602.75,14.54,38796.47,26666.09,26399.43,68.05,58.15,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190417,2019-04-17
India,2019,Apr-2019,17-Apr-2019,Thermal_Coal Lignite,200692.5,9060,10430,3914,52886,570,57370,28.59,143322.5,143706.07,130772.52,91.24,65.16,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190417,2019-04-17
India,2019,Apr-2019,17-Apr-2019,Nuclear,6780,540,,1220,320,0,1540,22.71,5240,5302.16,4692.41,89.55,69.21,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190417,2019-04-17
India,2019,Apr-2019,18-Apr-2019,Hydro,45399.22,1200.3,,2606.8,1170.25,2665.7,6442.75,14.19,38956.47,27729.97,27452.67,70.47,60.47,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190418,2019-04-18
India,2019,Apr-2019,18-Apr-2019,Thermal_Gas Liquid,24882.71,7618.28,,156.07,1493.68,13839.78,15489.53,62.25,9393.19,7464,7314.72,77.87,29.4,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190418,2019-04-18
India,2019,Apr-2019,18-Apr-2019,Thermal_Diesel,637.63,,,0,0,0,0,0,637.63,46.05,45.13,7.08,7.08,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190418,2019-04-18
India,2019,Apr-2019,18-Apr-2019,Thermal_Coal Lignite,200692.5,9745,10430,3794,51321,570,55685,27.75,145007.5,145052.66,131997.92,91.03,65.77,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190418,2019-04-18
India,2019,Apr-2019,18-Apr-2019,Nuclear,6780,540,,1220,320,0,1540,22.71,5240,5309.84,4699.21,89.68,69.31,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190418,2019-04-18
India,2019,Apr-2019,19-Apr-2019,Thermal_Gas Liquid,24882.71,7618.28,,156.07,1541.88,13829.81,15527.76,62.4,9354.96,7266.72,7121.39,76.12,28.62,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190419,2019-04-19
India,2019,Apr-2019,19-Apr-2019,Thermal_Diesel,637.63,,,0,0,0,0,0,637.63,46.05,45.13,7.08,7.08,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190419,2019-04-19
India,2019,Apr-2019,19-Apr-2019,Hydro,45399.22,1200.3,,2646.8,1315.25,2823.3,6785.35,14.95,38613.87,27130.03,26858.73,69.56,59.16,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190419,2019-04-19
India,2019,Apr-2019,19-Apr-2019,Nuclear,6780,540,,1220,320,0,1540,22.71,5240,5320.25,4708.42,89.86,69.45,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190419,2019-04-19
India,2019,Apr-2019,19-Apr-2019,Thermal_Coal Lignite,200692.5,9745,10430,4044,50356,780,55180,27.49,145512.5,145406.08,132319.53,90.93,65.93,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190419,2019-04-19
India,2019,Apr-2019,20-Apr-2019,Nuclear,6780,540,,1220,320,0,1540,22.71,5240,5333.7,4720.32,90.08,69.62,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190420,2019-04-20
India,2019,Apr-2019,20-Apr-2019,Thermal_Gas Liquid,24882.71,7218.28,,156.07,1931.91,13551.81,15639.79,62.85,9242.92,7843.11,7686.25,83.16,30.89,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190420,2019-04-20
India,2019,Apr-2019,20-Apr-2019,Hydro,45399.22,1200.3,,2646.8,1635.25,2793.3,7075.35,15.58,38323.87,26481.86,26217.04,68.41,57.75,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190420,2019-04-20
India,2019,Apr-2019,20-Apr-2019,Thermal_Diesel,637.63,,,0,0,0,0,0,637.63,46.05,45.13,7.08,7.08,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190420,2019-04-20
India,2019,Apr-2019,20-Apr-2019,Thermal_Coal Lignite,200692.5,9745,10430,3794,49101,780,53675,26.74,147017.5,143812.92,130869.76,89.02,65.21,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190420,2019-04-20
India,2019,Apr-2019,21-Apr-2019,Thermal_Coal Lignite,200692.5,9745,10430,4644,48631,1050,54325,27.07,146367.5,144293.4,131307,89.71,65.43,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190421,2019-04-21
India,2019,Apr-2019,21-Apr-2019,Nuclear,6780,540,,1220,480,0,1700,25.07,5080,5336.07,4722.42,92.96,69.65,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190421,2019-04-21
India,2019,Apr-2019,21-Apr-2019,Thermal_Gas Liquid,24882.71,7218.28,,156.07,1931.91,13450.81,15538.79,62.45,9343.92,6615.69,6483.38,69.39,26.06,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190421,2019-04-21
India,2019,Apr-2019,21-Apr-2019,Hydro,45399.22,1200.3,,2756.8,1250.25,3200.3,7207.35,15.88,38191.87,25992.74,25732.81,67.38,56.68,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190421,2019-04-21
India,2019,Apr-2019,21-Apr-2019,Thermal_Diesel,637.63,,,0,0,0,0,0,637.63,46.05,45.13,7.08,7.08,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190421,2019-04-21
India,2019,Apr-2019,22-Apr-2019,Thermal_Coal Lignite,200692.5,9145,10430,4294,46732,1050,52076,25.95,148616.5,147492.83,134218.47,90.31,66.88,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190422,2019-04-22
India,2019,Apr-2019,22-Apr-2019,Hydro,45399.22,1200.3,,2886.8,1090.25,3037.3,7014.35,15.45,38384.87,27609.32,27333.23,71.21,60.21,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190422,2019-04-22
India,2019,Apr-2019,22-Apr-2019,Thermal_Diesel,637.63,,,0,0,0,0,0,637.63,62.05,60.81,9.54,9.54,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190422,2019-04-22
India,2019,Apr-2019,22-Apr-2019,Nuclear,6780,540,,1220,480,0,1700,25.07,5080,5184.68,4588.44,90.32,67.68,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190422,2019-04-22
India,2019,Apr-2019,22-Apr-2019,Thermal_Gas Liquid,24882.71,7218.28,,156.07,1961.91,13653.41,15771.39,63.38,9111.32,7075.38,6933.87,76.1,27.87,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190422,2019-04-22
India,2019,Apr-2019,23-Apr-2019,Nuclear,6780,540,,1220,680,0,1900,28.02,4880,5189.03,4592.29,94.1,67.73,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190423,2019-04-23
India,2019,Apr-2019,23-Apr-2019,Thermal_Gas Liquid,24882.71,7218.28,,156.07,1631.56,14053.41,15841.04,63.66,9041.67,7635.92,7483.2,82.76,30.07,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190423,2019-04-23
India,2019,Apr-2019,23-Apr-2019,Hydro,45399.22,1200.3,,2773.8,1304.25,2941.1,7019.15,15.46,38380.07,29196.25,28904.29,75.31,63.67,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190423,2019-04-23
India,2019,Apr-2019,23-Apr-2019,Thermal_Diesel,637.63,,,0,0,0,0,0,637.63,46.05,45.13,7.08,7.08,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190423,2019-04-23
India,2019,Apr-2019,23-Apr-2019,Thermal_Coal Lignite,200692.5,9145,10430,4504,47322,1300,53126,26.47,147566.5,147521.48,134244.55,90.97,66.89,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190423,2019-04-23
India,2019,Apr-2019,24-Apr-2019,Thermal_Coal Lignite,200692.5,9145,10430,4294,45927,270,50491,25.16,150201.5,149521.49,136064.55,90.59,67.8,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190424,2019-04-24
India,2019,Apr-2019,24-Apr-2019,Nuclear,6780,540,,1220,680,0,1900,28.02,4880,4982.05,4409.11,90.35,65.03,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190424,2019-04-24
India,2019,Apr-2019,24-Apr-2019,Thermal_Gas Liquid,24882.71,7218.28,,156.07,1571.88,14030.31,15758.26,63.33,9124.46,7501.43,7351.4,80.57,29.54,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190424,2019-04-24
India,2019,Apr-2019,24-Apr-2019,Thermal_Diesel,637.63,,,0,0,0,0,0,637.63,100.85,98.83,15.5,15.5,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190424,2019-04-24
India,2019,Apr-2019,24-Apr-2019,Hydro,45399.22,1200.3,,2523.8,1069.25,3094.05,6687.1,14.73,38712.12,29617.42,29321.25,75.74,64.59,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190424,2019-04-24
India,2019,Apr-2019,25-Apr-2019,Hydro,45399.22,1200.3,,2726.8,1489.25,2748.45,6964.5,15.34,38434.72,30084.63,29783.78,77.49,65.6,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190425,2019-04-25
India,2019,Apr-2019,25-Apr-2019,Thermal_Gas Liquid,24882.71,7218.28,,156.07,1523.68,14030.31,15710.06,63.14,9172.65,8053.96,7892.88,86.05,31.72,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190425,2019-04-25
India,2019,Apr-2019,25-Apr-2019,Thermal_Coal Lignite,200692.5,9145,10430,4404,42086,270,46760,23.3,153932.5,151931.33,138257.51,89.82,68.89,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190425,2019-04-25
India,2019,Apr-2019,25-Apr-2019,Nuclear,6780,540,,1220,680,0,1900,28.02,4880,5025.56,4447.62,91.14,65.6,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190425,2019-04-25
India,2019,Apr-2019,25-Apr-2019,Thermal_Diesel,637.63,,,0,0,0,0,0,637.63,46.05,45.13,7.08,7.08,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190425,2019-04-25
India,2019,Apr-2019,26-Apr-2019,Thermal_Coal Lignite,200692.5,9145,10430,4404,41906,270,46580,23.21,154112.5,153322.48,139523.46,90.53,69.52,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190426,2019-04-26
India,2019,Apr-2019,26-Apr-2019,Thermal_Gas Liquid,24882.71,7218.28,,156.07,1561.91,13996.81,15714.79,63.16,9167.92,7875.49,7717.98,84.18,31.02,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",20190426,2019-04-26
