Country,srcYear,srcMonth,srcCalendarDay,Type of power generation,Monitored capacity,Capacity under long outage,New capacity under stabilization or completion of balance works,Capacity of power generation from Prime Movers (PM),Capacity of power generation from Fuel Oil (FO),Capacity of power generation from other sources,Total capacity of power generation from all sources,Capacity outage as percent of monitered,Operational capacity of power generation,Gross sum of maximum power generated,Net sum of maximum power generated,Maximum power output as percentage of capacity on line,Percentage of monitered maximum power output,YearCode,Year,MonthCode,Month,DayCode,CalendarDay
India,2017,Oct-2017,08-Oct-2017,Thermal_Coal Lignite,193426.5,5329,12690,7559,51453,0,59012,30.51,134414.5,141234.81,128523.68,95.62,66.45,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017",20171008,2017-10-08
India,2017,Oct-2017,08-Oct-2017,Nuclear,6780,540,,1140,1100,0,2240,33.04,4540,4885.2,4323.4,95.23,63.77,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017",20171008,2017-10-08
India,2017,Oct-2017,08-Oct-2017,Thermal_Diesel,837.63,,,0,0,0,0,0,837.63,46.05,45.13,5.39,5.39,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017",20171008,2017-10-08
India,2017,Oct-2017,09-Oct-2017,Thermal_Gas Liquid,25130.88,3472.3,,0,80,9325.04,9405.04,37.42,15725.84,11933.45,11694.78,74.37,46.54,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017",20171009,2017-10-09
India,2017,Oct-2017,09-Oct-2017,Hydro,44765.42,1098.9,,866.15,1479,1115.5,3460.65,7.73,41304.77,33332.72,32999.39,79.89,73.72,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017",20171009,2017-10-09
India,2017,Oct-2017,09-Oct-2017,Thermal_Coal Lignite,193426.5,5329,12690,7559,50550.5,0,58109.5,30.04,135317,141180.21,128473.99,94.94,66.42,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017",20171009,2017-10-09
India,2017,Oct-2017,09-Oct-2017,Nuclear,6780,540,,1140,1100,0,2240,33.04,4540,4884,4322.34,95.21,63.75,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017",20171009,2017-10-09
India,2017,Oct-2017,09-Oct-2017,Thermal_Diesel,837.63,,,0,0,0,0,0,837.63,46.05,45.13,5.39,5.39,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017",20171009,2017-10-09
India,2017,Oct-2017,10-Oct-2017,Hydro,44765.42,1098.9,,884.15,1716.5,1107.5,3708.15,8.28,41057.27,33994.25,33654.31,81.97,75.18,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017",20171010,2017-10-10
India,2017,Oct-2017,10-Oct-2017,Thermal_Coal Lignite,193426.5,5449,12690,6899,52775.5,0,59674.5,30.85,133752,139813.87,127230.62,95.12,65.78,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017",20171010,2017-10-10
India,2017,Oct-2017,10-Oct-2017,Thermal_Gas Liquid,25130.88,3472.3,,0,80,9442.04,9522.04,37.89,15608.84,11296.93,11070.99,70.93,44.05,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017",20171010,2017-10-10
India,2017,Oct-2017,10-Oct-2017,Nuclear,6780,540,,1140,1100,0,2240,33.04,4540,4883,4321.45,95.19,63.74,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017",20171010,2017-10-10
India,2017,Oct-2017,10-Oct-2017,Thermal_Diesel,837.63,,,0,0,0,0,0,837.63,46.05,45.13,5.39,5.39,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017",20171010,2017-10-10
India,2017,Oct-2017,11-Oct-2017,Thermal_Coal Lignite,193426.5,5569,12690,6494,52913,0,59407,30.71,134019.5,139644.4,127076.4,94.82,65.7,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017",20171011,2017-10-11
India,2017,Oct-2017,11-Oct-2017,Hydro,44765.42,1098.9,,871.65,1510,1015.75,3397.4,7.59,41368.02,33565.34,33229.69,80.33,74.23,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017",20171011,2017-10-11
India,2017,Oct-2017,11-Oct-2017,Thermal_Diesel,837.63,,,0,0,0,0,0,837.63,46.05,45.13,5.39,5.39,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017",20171011,2017-10-11
India,2017,Oct-2017,11-Oct-2017,Thermal_Gas Liquid,25130.88,3472.3,,0,80,9479.84,9559.84,38.04,15571.04,11621.77,11389.33,73.14,45.32,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017",20171011,2017-10-11
India,2017,Oct-2017,12-Oct-2017,Thermal_Gas Liquid,25130.88,3472.3,,0,80,9430.14,9510.14,37.84,15620.74,11101.1,10879.08,69.65,43.29,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017",20171012,2017-10-12
India,2017,Oct-2017,12-Oct-2017,Thermal_Diesel,837.63,,,0,0,0,0,0,837.63,46.05,45.13,5.39,5.39,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017",20171012,2017-10-12
India,2017,Oct-2017,12-Oct-2017,Nuclear,6780,540,,1140,1100,0,2240,33.04,4540,4803.03,4250.68,93.63,62.69,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017",20171012,2017-10-12
India,2017,Oct-2017,12-Oct-2017,Hydro,44765.42,1098.9,,1001.65,1461,1360.5,3823.15,8.54,40942.27,32765.39,32437.74,79.23,72.46,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017",20171012,2017-10-12
India,2017,Oct-2017,12-Oct-2017,Thermal_Coal Lignite,193426.5,5569,12690,6244,51138,0,57382,29.67,136044.5,140271.54,127647.1,93.83,65.99,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017",20171012,2017-10-12
India,2017,Oct-2017,13-Oct-2017,Hydro,44765.42,1138.9,,886.65,2580.5,1400.42,4867.57,10.87,39897.85,31888.03,31569.15,79.12,70.52,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017",20171013,2017-10-13
India,2017,Oct-2017,13-Oct-2017,Thermal_Gas Liquid,25130.88,3472.3,,0,80,9248.89,9328.89,37.12,15801.99,12255.69,12010.58,76.01,47.79,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017",20171013,2017-10-13
India,2017,Oct-2017,13-Oct-2017,Thermal_Coal Lignite,193426.5,5569,12690,6454,55093,0,61547,31.82,131879.5,142204.45,129406.05,98.12,66.9,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017",20171013,2017-10-13
India,2017,Oct-2017,13-Oct-2017,Nuclear,6780,540,,1140,1100,0,2240,33.04,4540,4837.83,4281.48,94.31,63.15,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017",20171013,2017-10-13
India,2017,Oct-2017,13-Oct-2017,Thermal_Diesel,837.63,,,0,0,0,0,0,837.63,46.05,45.13,5.39,5.39,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017",20171013,2017-10-13
India,2017,Oct-2017,14-Oct-2017,Thermal_Diesel,837.63,,,0,0,0,0,0,837.63,46.05,45.13,5.39,5.39,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017",20171014,2017-10-14
India,2017,Oct-2017,14-Oct-2017,Hydro,44765.42,1138.9,,886.65,1471,1195.75,3553.4,7.94,41212.02,32304.69,31981.64,77.6,71.44,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017",20171014,2017-10-14
India,2017,Oct-2017,14-Oct-2017,Thermal_Coal Lignite,193426.5,5569,12690,5794,52923,0,58717,30.36,134709.5,142713.86,129869.61,96.41,67.14,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017",20171014,2017-10-14
India,2017,Oct-2017,14-Oct-2017,Thermal_Gas Liquid,25130.88,3472.3,,0,80,9198.16,9278.16,36.92,15852.72,12008.8,11768.62,74.24,46.83,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017",20171014,2017-10-14
India,2017,Oct-2017,14-Oct-2017,Nuclear,6780,540,,1140,1100,0,2240,33.04,4540,4836.86,4280.62,94.29,63.14,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017",20171014,2017-10-14
